User = user , factorialNumber = 12 , value = 479001600, time = 04.12.2018 3:18:14
User = user , factorialNumber = 4 , value = 24, time = 04.12.2018 3:21:43
User = user , factorialNumber = 5 , value = 120, time = 04.12.2018 3:22:30
User = user , factorialNumber = 5 , value = 120, time = 04.12.2018 3:23:11
User = user , factorialNumber = 4 , value = 24, time = 04.12.2018 3:24:46
User = user , factorialNumber = 5 , value = 120, time = 04.12.2018 3:25:08
User = user , factorialNumber = 5 , value = 120, time = 04.12.2018 3:25:35
User = user , factorialNumber = 5 , value = 120, time = 04.12.2018 3:25:46
User = user , factorialNumber = 55 , value = 12696403353658275925965100847566516959580321051449436762275840000000000000, time = 04.12.2018 3:25:53
User = user , factorialNumber = 4 , value = 24, time = 04.12.2018 3:26:26
User = user , factorialNumber = 44 , value = 2658271574788448768043625811014615890319638528000000000, time = 04.12.2018 3:26:34
User = user , factorialNumber = 5 , value = 120, time = 04.12.2018 3:27:33
User = user , factorialNumber = 55 , value = 12696403353658275925965100847566516959580321051449436762275840000000000000, time = 04.12.2018 3:27:38
User = user , factorialNumber = 55 , value = 12696403353658275925965100847566516959580321051449436762275840000000000000, time = 04.12.2018 3:27:41
User = user , factorialNumber = 4 , value = 24, time = 04.12.2018 3:27:53
User = user , factorialNumber = 4 , value = 24, time = 04.12.2018 3:30:23
User = user , factorialNumber = 44 , value = 2658271574788448768043625811014615890319638528000000000, time = 04.12.2018 3:30:28
User = user , factorialNumber = 4 , value = 24, time = 04.12.2018 3:32:29
User = user , factorialNumber = 45 , value = 119622220865480194561963161495657715064383733760000000000, time = 04.12.2018 3:33:03
User = user , factorialNumber = 22 , value = 1124000727777607680000, time = 04.12.2018 3:34:44
